id,image_path,label
sample_00001,data/samples/sample_00001.png,scene_b1
sample_00002,data/samples/sample_00002.png,scene_b1
sample_00003,data/samples/sample_00003.png,scene_b1
sample_00004,data/samples/sample_00004.png,scene_b1
sample_00005,data/samples/sample_00005.png,scene_b1
sample_00006,data/samples/sample_00006.png,scene_b1
sample_00007,data/samples/sample_00007.png,scene_b1
sample_00008,data/samples/sample_00008.png,scene_b1
sample_00009,data/samples/sample_00009.png,scene_b1
sample_00010,data/samples/sample_00010.png,scene_b1
sample_00011,data/samples/sample_00011.png,scene_b1
sample_00012,data/samples/sample_00012.png,scene_b1
sample_00013,data/samples/sample_00013.png,scene_b1
sample_00014,data/samples/sample_00014.png,scene_b1
sample_00015,data/samples/sample_00015.png,scene_b1
sample_00016,data/samples/sample_00016.png,scene_b1
sample_00017,data/samples/sample_00017.png,scene_b1
sample_00018,data/samples/sample_00018.png,scene_b1
sample_00019,data/samples/sample_00019.png,scene_b1
sample_00020,data/samples/sample_00020.png,scene_b1
sample_00021,data/samples/sample_00021.png,scene_b1
sample_00022,data/samples/sample_00022.png,scene_b1
sample_00023,data/samples/sample_00023.png,scene_b1
sample_00024,data/samples/sample_00024.png,scene_b1
sample_00025,data/samples/sample_00025.png,scene_b1
sample_00026,data/samples/sample_00026.png,scene_b1
sample_00027,data/samples/sample_00027.png,scene_b1
sample_00028,data/samples/sample_00028.png,scene_b1
sample_00029,data/samples/sample_00029.png,scene_b1
sample_00030,data/samples/sample_00030.png,scene_b1
sample_00031,data/samples/sample_00031.png,scene_b1
sample_00032,data/samples/sample_00032.png,scene_b1
sample_00033,data/samples/sample_00033.png,scene_b1
sample_00034,data/samples/sample_00034.png,scene_b1
sample_00035,data/samples/sample_00035.png,scene_b1
sample_00036,data/samples/sample_00036.png,scene_b1
sample_00037,data/samples/sample_00037.png,scene_b1
sample_00038,data/samples/sample_00038.png,scene_b1
sample_00039,data/samples/sample_00039.png,scene_b1
sample_00040,data/samples/sample_00040.png,scene_b1
sample_00041,data/samples/sample_00041.png,scene_b1
sample_00042,data/samples/sample_00042.png,scene_b1
sample_00043,data/samples/sample_00043.png,scene_b1
sample_00044,data/samples/sample_00044.png,scene_b1
sample_00045,data/samples/sample_00045.png,scene_b1
sample_00046,data/samples/sample_00046.png,scene_b1
sample_00047,data/samples/sample_00047.png,scene_b1
sample_00048,data/samples/sample_00048.png,scene_b1
sample_00049,data/samples/sample_00049.png,scene_b1
sample_00050,data/samples/sample_00050.png,scene_b1
